Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT506527,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29785,USA: Michigan,Homo sapiens,,2020-03-12
MT506528,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens,,2020-03-12
MT506529,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-03-13
MT506530,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-03-15
MT506531,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,USA: Michigan,Homo sapiens,,2020-03-12
MT506532,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,USA: Michigan,Homo sapiens,,2020-03-14
MT506533,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,USA: Michigan,Homo sapiens,,2020-03-14
MT506534,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,USA: Michigan,Homo sapiens,,2020-03-14
MT506535,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,USA: Michigan,Homo sapiens,,2020-03-16
MT506536,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,USA: Michigan,Homo sapiens,,2020-03-16
MT506537,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,USA: Michigan,Homo sapiens,,2020-03-15
MT506538,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-03-18
MT506539,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-03-20
MT506540,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,USA: Michigan,Homo sapiens,,2020-03-20
MT506541,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,USA: Michigan,Homo sapiens,,2020-03-19
MT506542,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,USA: Michigan,Homo sapiens,,2020-03-20
MT506543,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,USA: Michigan,Homo sapiens,,2020-03-21
MT506544,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,USA: Michigan,Homo sapiens,,2020-03-25
MT506545,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA: Michigan,Homo sapiens,,2020-03-25
MT506546,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-03-27
MT506547,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens,,2020-03-26
MT506548,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-03-25
MT506549,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens,,2020-03-25
MT506550,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA: Michigan,Homo sapiens,,2020-03-27
MT506551,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-27
MT506552,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens,,2020-03-26
MT506553,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-27
MT506554,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-03-27
MT506555,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-03-27
MT506556,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens,,2020-03-27
MT506557,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-28
MT506558,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,USA: Michigan,Homo sapiens,,2020-03-27
MT506559,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-03-27
MT506560,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-28
MT506561,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,USA: Michigan,Homo sapiens,,2020-03-28
MT506562,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens,,2020-03-28
MT506563,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29772,USA: Michigan,Homo sapiens,,2020-03-28
MT506564,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,USA: Michigan,Homo sapiens,,2020-03-28
MT506565,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-04-01
MT506566,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,USA: Michigan,Homo sapiens,,2020-04-02
MT506567,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA: Michigan,Homo sapiens,,2020-04-02
MT506568,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-04-02
MT506569,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-04-02
MT506570,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,USA: Michigan,Homo sapiens,,2020-04-03
MT506571,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29810,USA: Michigan,Homo sapiens,,2020-04-03
MT506572,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-04-03
MT506573,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,USA: Michigan,Homo sapiens,,2020-04-03
MT506574,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-04-04
MT506575,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-04-04
MT506576,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,USA: Michigan,Homo sapiens,,2020-04-04
MT506577,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-04-03
MT506578,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,USA: Michigan,Homo sapiens,,2020-04-06
MT506579,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-04-06
MT506580,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-04-06
MT506581,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens,,2020-04-06
MT506582,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-04-20
MT506583,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29793,USA: Michigan,Homo sapiens,,2020-04-18
MT506584,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-04-20
MT506585,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,USA: Michigan,Homo sapiens,,2020-04-27
MT506586,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens,,2020-04-27
MT506587,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-04-23
MT506636,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-03-13
MT506637,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,USA: Michigan,Homo sapiens,,2020-03-12
MT506638,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-16
MT506639,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: Michigan,Homo sapiens,,2020-03-15
MT506640,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-17
MT506641,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-03-15
MT506642,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-15
MT506643,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-17
MT506644,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-17
MT506645,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-18
MT506646,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-03-13
MT506647,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-03-18
MT506648,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-17
MT506649,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens,,2020-03-18
MT506650,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,USA: Michigan,Homo sapiens,,2020-03-17
MT506651,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-18
MT506652,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens,,2020-03-17
MT506653,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-03-19
MT506654,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-19
MT506655,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens,,2020-03-19
MT506656,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-03-19
MT506657,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-18
MT506658,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-03-19
MT506659,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-19
MT506660,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens,,2020-03-19
MT506661,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-22
MT506662,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: Michigan,Homo sapiens,,2020-03-22
MT506663,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens,,2020-03-22
MT506664,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-03-21
MT506665,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-03-22
MT506666,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens,,2020-03-22
MT506667,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens,,2020-03-22
MT506668,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-22
MT506669,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens,,2020-03-21
MT506670,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-21
MT506671,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: Michigan,Homo sapiens,,2020-03-21
MT506672,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-21
MT506673,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-03-20
MT506674,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-03-22
MT506675,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-21
MT506676,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-21
MT506677,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-21
MT506678,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-21
MT506679,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,USA: Michigan,Homo sapiens,,2020-03-21
MT506680,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-03-19
MT506681,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens,,2020-03-23
MT506682,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens,,2020-03-22
MT506683,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-24
MT506684,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens,,2020-03-24
MT506685,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-23
MT506686,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-24
MT506687,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens,,2020-03-24
MT506688,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,USA: Michigan,Homo sapiens,,2020-03-24
MT506689,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens,,2020-03-26
MT506690,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-03-26
MT506691,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens,,2020-03-28
MT506692,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,USA: Michigan,Homo sapiens,,2020-03-29
MT506693,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,USA: Michigan,Homo sapiens,,2020-03-26
MT506694,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens,,2020-03-30
MT506695,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,USA: Michigan,Homo sapiens,,2020-04-08
MT506696,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-04-19
MT506697,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens,,2020-04-22
MT506698,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-04-22
MT506699,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-04-22
MT506700,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: Michigan,Homo sapiens,,2020-04-22
MT506701,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens,,2020-04-22
MT506702,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens,,2020-04-24
MT506707,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29883,USA,Homo sapiens,,2020-03-31
MT506885,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Wisconsin,Homo sapiens,oronasopharynx,2020-03-16
MT506886,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Oregon, Wisconsin",Homo sapiens,oronasopharynx,2020-04-18
MT506887,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Dane County, Wisconsin",Homo sapiens,oronasopharynx,2020-04-15
MT506888,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-15
MT506889,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-18
MT506890,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Madison, Wisconsin",Homo sapiens,oronasopharynx,2020-04-14
MT506891,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-18
MT506892,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-14
MT506893,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Dane County, Wisconsin",Homo sapiens,oronasopharynx,2020-04-01
MT506894,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-17
MT506895,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Mount Horeb, Wisconsin",Homo sapiens,oronasopharynx,2020-04-14
MT506896,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-14
MT506897,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-15
MT506898,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Verona, Wisconsin",Homo sapiens,oronasopharynx,2020-04-18
MT506899,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-18
MT506900,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-18
MT506901,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Mount Horeb, Wisconsin",Homo sapiens,oronasopharynx,2020-04-17
MT506902,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-17
MT506903,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-16
MT506904,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-15
MT506905,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-14
MT506906,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Dane County, Wisconsin",Homo sapiens,oronasopharynx,2020-04-01
MT506907,2020-05-22T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA: Illinois,Homo sapiens,oronasopharynx,2020-04-14
MT499171,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens,,2020-03-30
MT499172,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,USA: CA,Homo sapiens,,2020-03-30
MT499173,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: CA,Homo sapiens,,2020-03-29
MT499174,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,USA: CA,Homo sapiens,,2020-03-29
MT499175,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,USA: CA,Homo sapiens,,2020-03-26
MT499176,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens,,2020-03-26
MT499177,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: CA,Homo sapiens,,2020-03-26
MT499178,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,2020-03-26
MT499179,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,USA: CA,Homo sapiens,,2020-04-09
MT499180,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,USA: CA,Homo sapiens,,2020-03-25
MT499181,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens,,2020-03-25
MT499182,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,USA: CA,Homo sapiens,,2020-03-27
MT499183,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens,,2020-03-23
MT499184,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: CA,Homo sapiens,,2020-03-27
MT499185,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens,,2020-03-26
MT499186,2020-05-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: CA,Homo sapiens,,2020-03-25
